year,month,route,avg_ridership,city
2019,2,4,17256.666666666668,Chicago
2019,2,43,1056.6666666666667,Chicago
2019,2,44,2284.285714285714,Chicago
2019,2,47,7603.285714285715,Chicago
2019,2,48,971.5,Chicago
2019,2,49,13639.607142857143,Chicago
2019,2,49B,4352.678571428572,Chicago
2019,2,5,398.7857142857143,Chicago
2019,2,50,8093.464285714285,Chicago
2019,2,51,1128.75,Chicago
2019,2,52,9965.214285714286,Chicago
2019,2,52A,3097.5714285714284,Chicago
2019,2,53,15162.25,Chicago
2019,2,53A,5718.857142857143,Chicago
2019,2,54,8206.214285714286,Chicago
2019,2,54A,664.2,Chicago
2019,2,54B,2171.6071428571427,Chicago
2019,2,55,7692.357142857143,Chicago
2019,2,55A,294.25,Chicago
2019,2,55N,484.9166666666667,Chicago
2019,2,56,7128.0,Chicago
2019,2,57,1919.4642857142858,Chicago
2019,2,59,2831.2916666666665,Chicago
2019,2,6,7776.785714285715,Chicago
2019,2,60,9319.892857142857,Chicago
2019,2,62,8130.714285714285,Chicago
2019,2,62H,758.5416666666666,Chicago
2019,2,63,12761.0,Chicago
2019,2,63W,1161.857142857143,Chicago
2019,2,65,6617.857142857143,Chicago
2019,2,66,18051.5,Chicago
2019,2,67,8073.321428571428,Chicago
2019,2,68,887.0357142857143,Chicago
2019,2,7,5660.95,Chicago
2019,2,70,7178.464285714285,Chicago
2019,2,71,7585.892857142857,Chicago
2019,2,72,11887.607142857143,Chicago
2019,2,73,4393.607142857143,Chicago
2019,2,74,9894.142857142857,Chicago
2019,2,75,5729.142857142857,Chicago
2019,2,76,9295.964285714286,Chicago
2019,2,77,16323.607142857143,Chicago
2019,2,78,6291.678571428572,Chicago
2019,2,79,20210.071428571428,Chicago
2019,2,8,18981.428571428572,Chicago
2019,2,80,8839.07142857143,Chicago
2019,2,81,9383.0,Chicago
2019,2,81W,1287.3214285714287,Chicago
2019,2,82,13957.42857142857,Chicago
2019,2,84,2915.3571428571427,Chicago
2019,2,85,7415.678571428572,Chicago
2019,2,85A,566.3333333333334,Chicago
2019,2,86,2530.75,Chicago
2019,2,87,9372.964285714286,Chicago
2019,2,88,953.9642857142857,Chicago
2019,2,8A,2287.964285714286,Chicago
2019,2,9,15077.392857142857,Chicago
2019,2,90,3272.4285714285716,Chicago
2019,2,91,5171.392857142857,Chicago
2019,2,92,5143.714285714285,Chicago
2019,2,93,3012.6666666666665,Chicago
2019,2,94,6398.214285714285,Chicago
2019,2,95,4556.464285714285,Chicago
2019,2,96,791.8,Chicago
2019,2,97,2398.5,Chicago
2019,2,J14,8529.785714285714,Chicago
2019,2,X49,6481.05,Chicago
2019,2,X9,8059.0,Chicago
2019,2,X98,13.55,Chicago
2019,3,2,3435.277777777778,Chicago
2019,3,4,15368.166666666666,Chicago
2019,3,15,6338.866666666667,Chicago
2019,3,18,3206.4545454545455,Chicago
2019,3,19,292.77777777777777,Chicago
2019,3,20,13699.869565217392,Chicago
2019,3,34,4073.55,Chicago
2019,3,35,3998.1304347826085,Chicago
2019,3,36,11259.285714285714,Chicago
2019,3,37,1567.1538461538462,Chicago
2019,3,39,1478.64,Chicago
2019,3,43,1186.7272727272727,Chicago
2019,3,44,2432.277777777778,Chicago
2019,3,143,1814.9166666666667,Chicago
2019,3,146,11161.666666666666,Chicago
2019,3,147,9746.380952380952,Chicago
2019,3,148,2387.090909090909,Chicago
2019,3,151,13338.857142857143,Chicago
2019,3,152,7602.645161290323,Chicago
2019,3,155,5513.032258064516,Chicago
2019,3,156,6693.047619047619,Chicago
2019,3,157,6178.571428571428,Chicago
2019,3,165,196.04761904761904,Chicago
2019,3,169,132.20833333333334,Chicago
2019,3,171,761.6923076923077,Chicago
2019,3,172,1420.6190476190477,Chicago
2019,3,192,782.5555555555555,Chicago
2019,3,1,1764.2380952380952,Chicago
2019,3,100,500.0952380952381,Chicago
2019,3,1001,49.45161290322581,Chicago
2019,3,103,1606.6451612903227,Chicago
2019,3,106,1009.5806451612904,Chicago
2019,3,108,1052.1904761904761,Chicago
2019,3,11,1236.225806451613,Chicago
2019,3,111,2609.2580645161293,Chicago
2019,3,111A,152.41935483870967,Chicago
2019,3,112,1536.9354838709678,Chicago
2019,3,115,2388.9032258064517,Chicago
2019,3,119,3500.2903225806454,Chicago
2019,3,12,10188.0,Chicago
2019,3,120,830.3333333333334,Chicago
2019,3,121,1154.0,Chicago
2019,3,124,949.4193548387096,Chicago
2019,3,125,1180.047619047619,Chicago
2019,3,126,4036.7741935483873,Chicago
2019,3,134,2930.6190476190477,Chicago
2019,3,135,3599.7619047619046,Chicago
2019,3,136,1939.3333333333333,Chicago
2019,3,143,1744.6666666666667,Chicago
2019,3,146,11131.0,Chicago
2019,3,147,10827.5,Chicago
2019,3,148,2471.0,Chicago
2019,3,15,6026.25,Chicago
2019,3,151,12362.3,Chicago
2019,3,171,1324.0,Chicago
2019,3,172,1255.6,Chicago
2019,3,18,3123.0,Chicago
2019,3,19,192.66666666666666,Chicago
2019,3,192,845.6666666666666,Chicago
2019,3,2,3506.0,Chicago
2019,3,20,15188.75,Chicago
2019,3,201,2095.3846153846152,Chicago
2019,3,206,602.4285714285714,Chicago
2019,3,21,7674.935483870968,Chicago
2019,3,22,14484.612903225807,Chicago
2019,3,24,2783.3809523809523,Chicago
2019,3,26,4233.523809523809,Chicago
2019,3,28,4755.774193548387,Chicago
2019,3,29,9549.225806451614,Chicago
2019,3,3,13749.612903225807,Chicago
2019,3,30,2515.032258064516,Chicago
2019,3,31,510.85714285714283,Chicago
2019,3,34,3583.3636363636365,Chicago
2019,3,35,3353.75,Chicago
2019,3,36,11831.4,Chicago
2019,3,37,1499.75,Chicago
2019,3,39,1292.8333333333333,Chicago
2019,3,4,18231.615384615383,Chicago
2019,3,43,990.1111111111111,Chicago
2019,3,44,2768.5384615384614,Chicago
2019,3,47,7726.354838709677,Chicago
2019,3,48,972.1428571428571,Chicago
2019,3,49,13979.516129032258,Chicago
2019,3,49B,4451.870967741936,Chicago
2019,3,5,351.64516129032256,Chicago
2019,3,50,8233.193548387097,Chicago
2019,3,51,1095.483870967742,Chicago
2019,3,52,10150.935483870968,Chicago
2019,3,52A,3151.967741935484,Chicago
2019,3,53,15455.09677419355,Chicago
2019,3,53A,5952.322580645161,Chicago
2019,3,54,8353.806451612903,Chicago
2019,3,54A,684.4761904761905,Chicago
2019,3,54B,2283.483870967742,Chicago
2019,3,55,7732.903225806452,Chicago
2019,3,55A,304.42857142857144,Chicago
2019,3,55N,472.03846153846155,Chicago
2019,3,56,6963.5161290322585,Chicago
2019,3,57,1909.967741935484,Chicago
2019,3,59,2905.423076923077,Chicago
2019,3,6,8071.8387096774195,Chicago
2019,3,60,9043.516129032258,Chicago
2019,3,62,8429.709677419354,Chicago
2019,3,62H,792.3846153846154,Chicago
2019,3,63,12798.709677419354,Chicago
2019,3,63W,1123.516129032258,Chicago
2019,3,65,6744.451612903225,Chicago
2019,3,66,18398.322580645163,Chicago
2019,3,67,8222.258064516129,Chicago
2019,3,68,910.741935483871,Chicago
2019,3,7,5295.714285714285,Chicago
2019,3,70,7089.129032258064,Chicago
2019,3,71,7659.354838709677,Chicago
2019,3,72,11998.193548387097,Chicago
2019,3,73,4439.612903225807,Chicago
2019,3,74,9834.064516129032,Chicago
2019,3,75,5760.451612903225,Chicago
2019,3,76,9381.935483870968,Chicago
2019,3,77,16148.548387096775,Chicago
2019,3,78,6381.193548387097,Chicago
2019,3,79,20136.83870967742,Chicago
2019,3,8,18023.967741935485,Chicago
2019,3,80,8929.838709677419,Chicago
2019,3,81,9583.90322580645,Chicago
2019,3,81W,1269.3870967741937,Chicago
2019,3,82,13899.774193548386,Chicago
2019,3,84,3062.8387096774195,Chicago
2019,3,85,7559.903225806452,Chicago
2019,3,85A,590.4230769230769,Chicago
2019,3,86,2629.9523809523807,Chicago
2019,3,87,9348.483870967742,Chicago
2019,3,88,918.9354838709677,Chicago
2019,3,8A,2373.2580645161293,Chicago
2019,3,9,15441.677419354839,Chicago
2019,3,90,3469.3548387096776,Chicago
2019,3,91,5052.387096774193,Chicago
2019,3,92,5128.064516129032,Chicago
2019,3,93,3092.0,Chicago
2019,3,94,6418.1612903225805,Chicago
2019,3,95,4688.1612903225805,Chicago
2019,3,96,775.952380952381,Chicago
2019,3,97,2451.5806451612902,Chicago
2019,3,J14,8432.870967741936,Chicago
2019,3,X49,6709.333333333333,Chicago
2019,3,X9,8275.666666666666,Chicago
2019,3,X98,12.666666666666666,Chicago
2019,4,2,3577.3636363636365,Chicago
2019,4,4,17298.0,Chicago
2019,4,15,5937.777777777777,Chicago
2019,4,18,3364.0,Chicago
2019,4,19,189.28571428571428,Chicago
2019,4,20,13913.166666666666,Chicago
2019,4,34,3940.777777777778,Chicago
2019,4,35,3994.9,Chicago
2019,4,36,11547.78947368421,Chicago
2019,4,37,1473.4166666666667,Chicago
2019,4,39,1429.2272727272727,Chicago
2019,4,43,1189.4285714285713,Chicago
2019,4,44,2710.45,Chicago
2019,4,143,1816.1818181818182,Chicago
2019,4,146,11760.461538461539,Chicago
2019,4,147,9923.70588235294,Chicago
2019,4,148,2529.529411764706,Chicago
2019,4,151,13008.947368421053,Chicago
2019,4,152,7717.066666666667,Chicago
2019,4,155,5762.233333333334,Chicago
2019,4,156,6648.227272727273,Chicago
2019,4,157,6531.363636363636,Chicago
2019,4,165,185.9090909090909,Chicago
2019,4,169,83.54166666666667,Chicago
2019,4,171,1023.1428571428571,Chicago
2019,4,172,1970.7916666666667,Chicago
2019,4,192,826.2222222222222,Chicago
